image_file,photo,csv_CamX_mm,csv_CamY_mm,csv_CamZ_mm,csv_CamRoll_deg,csv_CamPitch_deg,csv_CamYaw_deg,LinearX,LinearY,LinearZ,original_x,original_y,original_z,unity_pos_x,unity_pos_y,unity_pos_z,unity_rot_x,unity_rot_y,unity_rot_z,unity_quat_x,unity_quat_y,unity_quat_z,unity_quat_w,face_real_x,face_real_y,face_real_z,face_unity_x,face_unity_y,face_unity_z,look_dot_face_to_origin,face_S_match_err,rot_mode
Baseline.jpg,Baseline,-20.472939,32.489234,47.842689,178.785492,-1.062243,-179.906698,25,40,10,0.03160001,-2.2834,12.5992,0.011127071,-2.315889234,12.647042689,1.212777,181.064219,0.093307,-0.000715889,-0.999900622,0.010590377,0.009277791,-0.018569,0.021165,-0.999604,-0.018569,-0.021165,-0.999604,0.7621,0.00e+00,"REAL ExtXYZ Rx(roll)->Ry(pitch)->Rz(yaw); face=R@z; S=diag(1,-1,1); R_u=S@R@S"
1.jpg,1,-10.672319,32.100281,35.770452,178.785492,-1.062243,-179.906698,15.5,40,22,0.03160001,-2.2834,12.5992,0.020927691,-2.315500281,12.634970452,1.212777,181.064219,0.093307,-0.000715889,-0.999900622,0.010590377,0.009277791,-0.018569,0.021165,-0.999604,-0.018569,-0.021165,-0.999604,0.7084,0.00e+00,"REAL ExtXYZ Rx(roll)->Ry(pitch)->Rz(yaw); face=R@z; S=diag(1,-1,1); R_u=S@R@S"
2.jpg,2,-10.695259,37.120141,35.677411,178.785492,-1.062243,-179.906698,15.5,35,22,0.03160001,-2.2834,12.5992,0.020904751,-2.320520141,12.634877411,1.212777,181.064219,0.093307,-0.000715889,-0.999900622,0.010590377,0.009277791,-0.018569,0.021165,-0.999604,-0.018569,-0.021165,-0.999604,0.6595,0.00e+00,"REAL ExtXYZ Rx(roll)->Ry(pitch)->Rz(yaw); face=R@z; S=diag(1,-1,1); R_u=S@R@S"
3.jpg,3,-10.718199,42.140001,35.58437,178.785492,-1.062243,-179.906698,15.5,30,22,0.03160001,-2.2834,12.5992,0.020881811,-2.325540001,12.634784370,1.212777,181.064219,0.093307,-0.000715889,-0.999900622,0.010590377,0.009277791,-0.018569,0.021165,-0.999604,-0.018569,-0.021165,-0.999604,0.6137,0.00e+00,"REAL ExtXYZ Rx(roll)->Ry(pitch)->Rz(yaw); face=R@z; S=diag(1,-1,1); R_u=S@R@S"
4.jpg,4,-10.741139,47.159861,35.491329,178.785492,-1.062243,-179.906698,15.5,25,22,0.03160001,-2.2834,12.5992,0.020858871,-2.330559861,12.634691329,1.212777,181.064219,0.093307,-0.000715889,-0.999900622,0.010590377,0.009277791,-0.018569,0.021165,-0.999604,-0.018569,-0.021165,-0.999604,0.5714,0.00e+00,"REAL ExtXYZ Rx(roll)->Ry(pitch)->Rz(yaw); face=R@z; S=diag(1,-1,1); R_u=S@R@S"
5.jpg,5,-10.764079,52.179721,35.398288,178.785492,-1.062243,-179.906698,15.5,20,22,0.03160001,-2.2834,12.5992,0.020835931,-2.335579721,12.634598288,1.212777,181.064219,0.093307,-0.000715889,-0.999900622,0.010590377,0.009277791,-0.018569,0.021165,-0.999604,-0.018569,-0.021165,-0.999604,0.5328,0.00e+00,"REAL ExtXYZ Rx(roll)->Ry(pitch)->Rz(yaw); face=R@z; S=diag(1,-1,1); R_u=S@R@S"
6.jpg,6,-10.787019,57.199582,35.305247,178.785492,-1.062243,-179.906698,15.5,15,22,0.03160001,-2.2834,12.5992,0.020812991,-2.340599582,12.634505247,1.212777,181.064219,0.093307,-0.000715889,-0.999900622,0.010590377,0.009277791,-0.018569,0.021165,-0.999604,-0.018569,-0.021165,-0.999604,0.4977,0.00e+00,"REAL ExtXYZ Rx(roll)->Ry(pitch)->Rz(yaw); face=R@z; S=diag(1,-1,1); R_u=S@R@S"
7.jpg,7,-10.809959,62.219442,35.212206,178.785492,-1.062243,-179.906698,15.5,10,22,0.03160001,-2.2834,12.5992,0.020790051,-2.345619442,12.634412206,1.212777,181.064219,0.093307,-0.000715889,-0.999900622,0.010590377,0.009277791,-0.018569,0.021165,-0.999604,-0.018569,-0.021165,-0.999604,0.4658,0.00e+00,"REAL ExtXYZ Rx(roll)->Ry(pitch)->Rz(yaw); face=R@z; S=diag(1,-1,1); R_u=S@R@S"
8.jpg,8,-10.832899,67.239302,35.119165,178.785492,-1.062243,-179.906698,15.5,5,22,0.03160001,-2.2834,12.5992,0.020767111,-2.350639302,12.634319165,1.212777,181.064219,0.093307,-0.000715889,-0.999900622,0.010590377,0.009277791,-0.018569,0.021165,-0.999604,-0.018569,-0.021165,-0.999604,0.4369,0.00e+00,"REAL ExtXYZ Rx(roll)->Ry(pitch)->Rz(yaw); face=R@z; S=diag(1,-1,1); R_u=S@R@S"
9.jpg,9,-10.855839,72.259162,35.026125,178.785492,-1.062243,-179.906698,15.5,0,22,0.03160001,-2.2834,12.5992,0.020744171,-2.355659162,12.634226125,1.212777,181.064219,0.093307,-0.000715889,-0.999900622,0.010590377,0.009277791,-0.018569,0.021165,-0.999604,-0.018569,-0.021165,-0.999604,0.4107,0.00e+00,"REAL ExtXYZ Rx(roll)->Ry(pitch)->Rz(yaw); face=R@z; S=diag(1,-1,1); R_u=S@R@S"
