photo#,LinearX,LinearY,LinearZ,CamX,CamY,CamZ,CamPitch,CamRoll,CamYaw
Baseline,25,40,10,-20.472939,32.489234,47.842689,-1.062243,178.785492,-179.906698
1,15.5,40,22,-10.672319,32.100281,35.770452,-1.062243,178.785492,-179.906698
2,15.5,35,22,-10.695259,37.120141,35.677411,-1.062243,178.785492,-179.906698
3,15.5,30,22,-10.718199,42.140001,35.584370,-1.062243,178.785492,-179.906698
4,15.5,25,22,-10.741139,47.159861,35.491329,-1.062243,178.785492,-179.906698
5,15.5,20,22,-10.764079,52.179721,35.398288,-1.062243,178.785492,-179.906698
6,15.5,15,22,-10.787019,57.199582,35.305247,-1.062243,178.785492,-179.906698
7,15.5,10,22,-10.809959,62.219442,35.212206,-1.062243,178.785492,-179.906698
8,15.5,5,22,-10.832899,67.239302,35.119165,-1.062243,178.785492,-179.906698
9,15.5,0,22,-10.855839,72.259162,35.026125,-1.062243,178.785492,-179.906698
