image_file,csv_quat_x,csv_quat_y,csv_quat_z,csv_quat_w,unity_quat_x,unity_quat_y,unity_quat_z,unity_quat_w,quat_dot_abs,pos_x,pos_y,pos_z,euler_x,euler_y,euler_z,applied_via
Baseline.jpg,-0.000715889,-0.999900600,0.010590380,0.009277791,-0.000715889,-0.999900600,0.010590380,0.009277791,1.000000,0.011127070,-2.315889000,12.647040000,1.212777,181.064200,0.093307,quaternion
1.jpg,-0.000715889,-0.999900600,0.010590380,0.009277791,-0.000715889,-0.999900600,0.010590380,0.009277791,1.000000,0.020927690,-2.315500000,12.634970000,1.212777,181.064200,0.093307,quaternion
2.jpg,-0.000715889,-0.999900600,0.010590380,0.009277791,-0.000715889,-0.999900600,0.010590380,0.009277791,1.000000,0.020904750,-2.320520000,12.634880000,1.212777,181.064200,0.093307,quaternion
3.jpg,-0.000715889,-0.999900600,0.010590380,0.009277791,-0.000715889,-0.999900600,0.010590380,0.009277791,1.000000,0.020881810,-2.325540000,12.634780000,1.212777,181.064200,0.093307,quaternion
4.jpg,-0.000715889,-0.999900600,0.010590380,0.009277791,-0.000715889,-0.999900600,0.010590380,0.009277791,1.000000,0.020858870,-2.330560000,12.634690000,1.212777,181.064200,0.093307,quaternion
5.jpg,-0.000715889,-0.999900600,0.010590380,0.009277791,-0.000715889,-0.999900600,0.010590380,0.009277791,1.000000,0.020835930,-2.335580000,12.634600000,1.212777,181.064200,0.093307,quaternion
6.jpg,-0.000715889,-0.999900600,0.010590380,0.009277791,-0.000715889,-0.999900600,0.010590380,0.009277791,1.000000,0.020812990,-2.340600000,12.634510000,1.212777,181.064200,0.093307,quaternion
7.jpg,-0.000715889,-0.999900600,0.010590380,0.009277791,-0.000715889,-0.999900600,0.010590380,0.009277791,1.000000,0.020790050,-2.345619000,12.634410000,1.212777,181.064200,0.093307,quaternion
8.jpg,-0.000715889,-0.999900600,0.010590380,0.009277791,-0.000715889,-0.999900600,0.010590380,0.009277791,1.000000,0.020767110,-2.350639000,12.634320000,1.212777,181.064200,0.093307,quaternion
9.jpg,-0.000715889,-0.999900600,0.010590380,0.009277791,-0.000715889,-0.999900600,0.010590380,0.009277791,1.000000,0.020744170,-2.355659000,12.634230000,1.212777,181.064200,0.093307,quaternion
